# HEADQUARTERS, ACADEMIC GROUP, PHILIPPINE MILITARY ACADEMY
# Fort General Gregorio H Del Pilar, Baguio City
# Class Schedule for the Fourth Class (4CL) Cadets
# 2nd Term, Academic Year 2025 – 2026
# 21 October – 21 November 2025 (2nd Shift)
#
Section Group,Period,Time,Monday (M),Tuesday (T),Wednesday (W),Thursday (TH),Friday (F)
"A, B, C",1ST,0800-0910,STES132,,STES132,,-
"A, B, C",2ND,0920-1030,,POM132,,POM132,
"A, B, C",3RD,1040-1150,,MAT132,,MAT132,
"A, B, C",4TH,1310-1420,PHI132,,PHI132,,PHI132
"A, B, C",5TH,1430-1540,ECO132,SD122/PD112,ECO132,SD122/PD112,ECO132
"D, E, F",1ST,0800-0910,,POM132,,POM132,
"D, E, F",2ND,0920-1030,,MAT132,,MAT132,
"D, E, F",3RD,1040-1150,PHI132,,PHI132,,PHI132
"D, E, F",4TH,1310-1420,ECO132,SD122/PD112,ECO132,SD122/PD112,ECO132
"D, E, F",5TH,1430-1540,STES132,,STES132,,-
"G, H, I",1ST,0800-0910,,MAT132,,MAT132,
"G, H, I",2ND,0920-1030,PHI132,,PHI132,,PHI132
"G, H, I",3RD,1040-1150,ECO132,SD122/PD112,ECO132,SD122/PD112,ECO132
"G, H, I",4TH,1310-1420,STES132,,STES132,,-
"G, H, I",5TH,1430-1540,,POM132,,POM132,
"J, K, L",1ST,0800-0910,PHI132,,PHI132,,PHI132
"J, K, L",2ND,0920-1030,ECO132,SD122/PD112,ECO132,SD122/PD112,ECO132
"J, K, L",3RD,1040-1150,STES132,,STES132,,-
"J, K, L",4TH,1310-1420,,POM132,,POM132,
"J, K, L",5TH,1430-1540,,MAT132,,MAT132,
"M, N, O",1ST,0800-0910,ECO132,SD122/PD112,ECO132,SD122/PD112,ECO132
"M, N, O",2ND,0920-1030,STES132,,,STES132,-
"M, N, O",3RD,1040-1150,,POM132,,POM132,
"M, N, O",4TH,1310-1420,,MAT132,,MAT132,
"M, N, O",5TH,1430-1540,PHI132,,PHI132,,PHI132